Ranking,University Name,Country,Source,No. of Students,Public/Private University,Focus
751-800,Universidad de La Sabana,Colombia,,"<12,000",Private,Comprehensive+
751-800,Universidad Diego Portales (UDP),Chile,,"<30,000",Private,Comprehensive+
751-800,Universidad Simón Bolívar (USB),Venezuela,,"<12,000",Public,Focused
751-800,Universidade Federal de Santa Catarina,Brazil,,">30,000",Public,Comprehensive+
751-800,Universita' degli Studi di Ferrara,Italy,,"<30,000",Public,Comprehensive+
751-800,Università degli Studi di Perugia,Italy,,"<30,000",Public,Comprehensive+
751-800,Università degli studi Roma Tre,Italy,,">30,000",Public,Comprehensive
751-800,University of Lorraine,France,,">30,000",Public,Comprehensive
751-800,Université de Nantes,France,,">30,000",Public,Comprehensive
751-800,Université Lumière Lyon 2,France,,"<30,000",Public,Specialist
751-800,Université Toulouse 1 Capitole,France,,"<30,000",Public,Focused
751-800,Universiti Teknologi MARA - UiTM,Malaysia,,">30,000",Public,Comprehensive
751-800,University of Brescia,Italy,,"<30,000",Public,Focused
751-800,University of Calcutta,India,,"<30,000",Public,Comprehensive
751-800,University of Colombo,Sri Lanka,,"<30,000",Public,Comprehensive
751-800,University of Hertfordshire,United Kingdom,,"<30,000",Public,Comprehensive
751-800,University of Huddersfield,United Kingdom,,"<30,000",Public,Comprehensive
751-800,University of New Hampshire,United States,,"<30,000",Public,Comprehensive
751-800,University of Pécs,Hungary,,"<30,000",Public,Comprehensive+
751-800,University of Salford,United Kingdom,,,,
751-800,University of Southern Queensland,Australia,,"<30,000",Public,Comprehensive
751-800,University of Tulsa,United States,,,,
751-800,Yamaguchi University,Japan,,"<12,000",Public,Comprehensive+
751-800,Yeungnam University,South Korea,,,,
751-800,Yokohama National University,Japan,,"<12,000",Public,Comprehensive
801-1000,Adam Mickiewicz University,Poland,,"<12,000",Public,Comprehensive
801-1000,AGH University of Science and Technology,Poland,,"<12,000",Public,
801-1000,Al Azhar University,Egypt,,">30,000",Public,Comprehensive
801-1000,Alexandru Ioan Cuza University,Romania,,,,
801-1000,"Aligarh Muslim University (AMU), Aligarh",India,,"<30,000",Public,Comprehensive
801-1000,Ankara Üniversitesi,Turkey,,,,
801-1000,Aoyama Gakuin University,Japan,,"<30,000",Private,Comprehensive
801-1000,Athens University of Economics and Business,Greece,,"<12,000",Public,Focused
801-1000,Auburn University,United States,,"<12,000",Public,Focused
801-1000,Australian Catholic University,Australia,,"<30,000",Public,Comprehensive
801-1000,Babes-Bolyai University,Romania,,,,
801-1000,Baku State University,Azerbaijan,,"<30,000",Public,Focused
801-1000,Banaras Hindu University,India,,"<30,000",Public,Comprehensive+
801-1000,Baylor University,United States,,"<30,000",Private,Comprehensive
801-1000,Benemérita Universidad Autónoma de Puebla,Mexico,,"<30,000",Private,Comprehensive
801-1000,Binghamton University SUNY,United States,,"<30,000",Public,Comprehensive
801-1000,"Birla Institute of Technology and Science, Pilani",India,,"<12,000",Private,Comprehensive
801-1000,Birzeit university,"Palestinian Territory, Occupied",,"<12,000",Private,Comprehensive
801-1000,Central South University,China,,">30,000",Public,Comprehensive+
801-1000,Charles Sturt University,Australia,,"<30,000",Public,Comprehensive
801-1000,Chongqing University,China,,,,
801-1000,Chungnam National University,South Korea,,,,
801-1000,Corvinus University of Budapest,Hungary,,,,
801-1000,Cukurova University,Turkey,,">30,000",Public,Comprehensive+
801-1000,Diponegoro University,Indonesia,,,,
