Ranking,University Name,Country,Source,No. of Students,Public/Private University,Focus
1,Massachusetts Institute of Technology (MIT),United States,QS,,,
2,Stanford University,United States,QS,,,
3,Harvard University,United States,QS,,,
4,California Institute of Technology (Caltech),United States,QS,,,
5,University of Cambridge,United Kingdom,QS,,,
6,University of Oxford,United Kingdom,QS,,,
7,UCL (University College London),United Kingdom,QS,,,
8,Imperial College London,United Kingdom,QS,,,
9,University of Chicago,United States,QS,,,
10,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,QS,,,
11,"Nanyang Technological University, Singapore (NTU)",Singapore,QS,,,
12,Ecole Polytechnique Fédérale de Lausanne (EPFL),Switzerland,QS,,,
13,Princeton University,United States,QS,,,
14,Cornell University,United States,QS,,,
15,National University of Singapore (NUS),Singapore,QS,,,
16,Yale University,United States,QS,,,
17,Johns Hopkins University,United States,QS,,,
18,Columbia University,United States,QS,,,
19,University of Pennsylvania,United States,QS,,,
20,The Australian National University,Australia,QS,,,
=21,University of Michigan,United States,QS,,,
=21,Duke University,United States,QS,,,
=23,The University of Edinburgh,United Kingdom,QS,,,
=23,King's College London,United Kingdom,QS,,,
25,Tsinghua University,China,QS,,,
26,The University of Hong Kong,Hong Kong,QS,,,
27,"University of California, Berkeley (UCB)",United States,QS,,,
=28,The University of Tokyo,Japan,QS,,,
=28,Northwestern University,United States,QS,,,
30,The Hong Kong University of Science and Technology,Hong Kong,QS,,,
31,University of Toronto,Canada,QS,,,
32,McGill University,Canada,QS,,,
33,"University of California, Los Angeles (UCLA)",United States,QS,,,
34,The University of Manchester,United Kingdom,QS,,,
35,London School of Economics and Political Science (LSE),United Kingdom,QS,,,
=36,Kyoto University,Japan,QS,,,
=36,Seoul National University,South Korea,QS,,,
=38,"University of California, San Diego (UCSD)",United States,QS,,,
=38,Peking University,China,QS,,,
40,Fudan University,China,QS,,,
=41,KAIST - Korea Advanced Institute of Science & Technology,South Korea,QS,,,
=41,The University of Melbourne,Australia,QS,,,
43,"Ecole normale supérieure, Paris",France,QS,,,
44,University of Bristol,United Kingdom,QS,,,
45,The University of New South Wales (UNSW Sydney),Australia,QS,,,
46,The Chinese University of Hong Kong (CUHK),Hong Kong,QS,,,
=47,Carnegie Mellon University,United States,QS,,,
=47,The University of Queensland,Australia,QS,,,
49,City University of Hong Kong,Hong Kong,QS,,,
50,The University of Sydney,Australia,QS,,,
51,University of British Columbia,Canada,QS,,,
52,New York University (NYU),United States,QS,,,
53,Brown University,United States,QS,,,
54,Delft University of Technology,Netherlands,QS,,,
55,University of Wisconsin-Madison,United States,QS,,,
56,Tokyo Institute of Technology,Japan,QS,,,
57,The University of Warwick,United Kingdom,QS,,,
58,University of Amsterdam,Netherlands,QS,,,
59,Ecole Polytechnique,France,QS,,,
60,Monash University,Australia,QS,,,
61,University of Washington,United States,QS,,,
62,Shanghai Jiao Tong University,China,QS,,,
63,Osaka University,Japan,QS,,,
64,Technical University of Munich,Germany,QS,,,
65,University of Glasgow,United Kingdom,QS,,,
