Ranking,Fund Short Name,Investment Strategy,Dummy,Fund Company,Dummy,Recent Month Return,Dummy,Lastest NAV,Cumulative Return,Dummy,Dummy,Dummy,Annalized Return,Sharpe Ratio,Year Rating
18001,凯石传化定增,定向增发,查看,凯石投资,查看,13.28%,查看,1.1328,13.28%,查看,查看,查看,,,
18002,灵君一号,股票策略,查看,灵君投资,查看,-6.62%,查看,1.0010,0.10%,查看,查看,查看,,,
18003,嘉禾稳增6号,其他,查看,嘉禾财富,查看,-6.23%,查看,0.7370,-26.30%,查看,查看,查看,,,
18004,汇智圆通大中华绝对收益,多策略,查看,元量致世,查看,0.50%,查看,1.0110,1.10%,查看,查看,查看,,,
18005,朱雀新征程基金,股票策略,查看,朱雀股权投资,查看,-7.52%,查看,0.8490,-15.10%,查看,查看,查看,,,
18006,稳增瑞虎6号,组合策略,查看,恒天财富,查看,-8.44%,查看,0.9201,-7.99%,查看,查看,查看,,,
18007,九州新三板1号,定向增发,查看,九州鑫汇,查看,-9.03%,查看,1.1561,15.61%,查看,查看,查看,,,
18008,泓澄尊享C期,股票策略,查看,泓澄投资,查看,--,查看,1.0512,5.12%,查看,查看,查看,,,
18009,新北洋专项资产管理计划,定向增发,查看,华菱津杉投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
18010,五牛金色联盟1号基金,对冲策略,查看,五牛股权,查看,-7.71%,查看,0.8380,-16.20%,查看,查看,查看,,,
18011,上海泛皓福强共赢一号,其他,查看,泛皓投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
18012,艾方博云尊享1号,股票策略,查看,艾方资产,查看,7.78%,查看,1.0670,6.70%,查看,查看,查看,,,
18013,陆家嘴财富-大河30-2号,债券策略,查看,陆家嘴财富,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
18014,惠和证券第A045信托单元,股票策略,查看,惠和投资,查看,--,查看,0.8658,-13.42%,查看,查看,查看,,,
18015,中城永健,其他,查看,中城赋比兴,查看,0.90%,查看,1.0090,20.60%,查看,查看,查看,,,
18016,万霁三号,股票策略,查看,万霁资产,查看,--,查看,1.0120,1.20%,查看,查看,查看,,,
18017,恒宇天泽黄山三号,股票策略,查看,恒宇天泽投资,查看,-1.10%,查看,0.9890,2.20%,查看,查看,查看,,,
18018,海润桦恒生1号,其他,查看,宏德投资,查看,-3.36%,查看,0.9150,-8.50%,查看,查看,查看,,,
18019,首建投创赢1号,股票策略,查看,首都建设投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
18020,善成5号,债券策略,查看,善成资源,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
18021,久银金沙25号,股票策略,查看,久银投资,查看,2.09%,查看,0.9280,-7.20%,查看,查看,查看,,,
18022,天成木兰1号,股票策略,查看,天成财富,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
18023,凯石财汇6号,定向增发,查看,凯石益正,查看,--,查看,0.9993,-0.07%,查看,查看,查看,,,
18024,泰发石家庄南王村私募一期,其他,查看,泰发基金,查看,--,查看,1.0400,4.00%,查看,查看,查看,,,
18025,昭融火利3号,管理期货,查看,昭融汇利,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
18026,烁昕一号,其他,查看,烁昕投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
18027,辰熙1号,股票策略,查看,天禹辰熙,查看,--,查看,1.0328,3.28%,查看,查看,查看,,,
18028,双宇华耀创富二期,股票策略,查看,双宇华耀资产,查看,--,查看,0.9416,-5.84%,查看,查看,查看,,,
18029,融和1期,股票策略,查看,经纬融和,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
18030,阜兴优选FOF1号,组合策略,查看,阜兴资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
18031,金湖汇泽1期,股票策略,查看,大金湖资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
18032,平安财富对冲优选1号,其他,查看,平安财富理财,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
18033,尚泽泰山一号,多策略,查看,尚泽投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
18034,中金浦泰安享1期,股票策略,查看,中金浦泰,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
18035,东融资本钻石七十号,股票策略,查看,东融资本,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
18036,蓝宝石(淳阳)(上信-E-5501),股票策略,查看,淳阳投资,查看,4.40%,查看,1.0336,3.36%,查看,查看,查看,,,
18037,美联融通2期,股票策略,查看,美联融通,查看,-17.63%,查看,0.9218,-7.82%,查看,查看,查看,,,
18038,嘉泰601桐庐文创园,股票策略,查看,嘉锐基金,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
18039,中信建投稳健添益5号,债券策略,查看,中信建投证券,查看,2.63%,查看,1.0540,5.40%,查看,查看,查看,,,
18040,海通创新量化套利1号,股票策略,查看,海通证券,查看,0.01%,查看,1.0103,1.03%,查看,查看,查看,,,
18041,渤海分级汇金2号A,债券策略,查看,渤海证券,查看,2.20%,查看,1.1100,19.71%,查看,查看,查看,,,
18042,乐享中兴微金融1号（优先级3个月）第5期,组合策略,查看,五矿证券,查看,--,查看,1.0165,1.65%,查看,查看,查看,,,
18043,国元元赢5号风险级,债券策略,查看,国元证券,查看,0.00%,查看,1.0113,1.13%,查看,查看,查看,,,
18044,财通创信10号(一期),组合策略,查看,财通证券,查看,-5.14%,查看,0.9937,8.38%,查看,查看,查看,,,
18045,融资宝A类第77期,股票策略,查看,五矿证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
18046,安信融信·冀东发展,债券策略,查看,安信证券,查看,2.08%,查看,0.9999,6.10%,查看,查看,查看,,,
18047,国联汇金25号,债券策略,查看,国联证券,查看,1.07%,查看,1.0626,6.26%,查看,查看,查看,,,
18048,瑞滙2A类第100期,股票策略,查看,招商证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
18049,德泽振祈系列之稳健3号,股票策略,查看,德泽财富,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
